#Time(sec since midnight),Speed(Kts)
58806.889000,7.660000
58808.848000,7.790000
58810.887000,7.950000
58812.847000,8.110000
58814.886000,7.910000
58816.845000,8.140000
58818.884000,7.930000
58820.844000,7.540000
58822.882000,7.660000
58824.841000,7.720000
58826.880000,7.580000
58828.840000,7.370000
58830.893000,7.620000
58832.849000,7.520000
58834.892000,7.560000
58836.836000,7.540000
58838.892000,7.720000
58840.836000,7.720000
58842.894000,6.980000
58845.117000,7.230000
58848.848000,7.270000
58850.902000,7.020000
58852.845000,7.440000
58854.901000,7.780000
58856.845000,7.580000
58858.900000,8.260000
58860.856000,8.510000
58862.896000,7.310000
58864.858000,7.560000
58866.896000,7.330000
58868.857000,7.130000
58870.894000,7.680000
58872.854000,8.140000
58874.892000,7.780000
58876.853000,7.350000
58878.890000,7.520000
58880.852000,7.600000
58882.904000,7.170000
58884.849000,7.520000
58886.908000,8.260000
58888.847000,7.760000
58890.901000,7.230000
58892.845000,7.640000
58894.900000,8.140000
58896.844000,7.440000
58898.898000,7.390000
58900.842000,7.560000
58904.856000,6.920000
58906.909000,6.750000
58908.854000,7.430000
58910.909000,7.990000
58912.866000,8.110000
58916.867000,7.480000
58918.905000,6.750000
58920.851000,7.290000
58922.902000,7.170000
58924.847000,7.680000
58926.901000,7.350000
58928.849000,6.980000
58930.901000,7.150000
58932.860000,7.350000
58934.899000,7.740000
58936.859000,7.560000
58938.898000,8.440000
58940.856000,8.490000
58942.896000,6.880000
58944.855000,7.100000
58946.895000,7.810000
58948.855000,8.110000
58950.893000,8.110000
58952.852000,7.930000
58954.907000,7.210000
58956.861000,7.440000
58958.904000,7.850000
58960.849000,7.700000
58962.904000,7.700000
58964.847000,7.350000
58966.854000,7.560000
58968.848000,7.660000
58970.854000,7.700000
58972.860000,6.880000
58974.861000,6.670000
58976.858000,7.230000
58978.849000,7.520000
58980.857000,7.640000
58983.004000,7.810000
58984.975000,7.830000
58986.861000,7.480000
58988.854000,7.210000
58990.860000,7.780000
58992.852000,7.830000
58994.859000,7.500000
58996.849000,7.410000
58998.858000,7.850000
59000.870000,8.200000
59002.855000,7.910000
59004.846000,7.250000
59006.854000,6.900000
59008.847000,6.710000
59010.852000,7.190000
59012.859000,7.700000
59014.851000,8.160000
59016.859000,8.380000
59018.860000,7.870000
59020.856000,7.890000
59022.847000,8.010000
59024.855000,8.280000
59026.925000,7.540000
59028.884000,8.260000
59030.923000,7.870000
59032.882000,7.660000
59034.921000,7.540000
59036.884000,7.460000
59038.919000,8.220000
59040.879000,7.760000
59042.918000,7.870000
59044.878000,7.640000
59046.916000,8.050000
59048.876000,8.090000
59050.930000,8.220000
59052.874000,7.580000
59054.928000,7.440000
59056.872000,7.850000
59058.926000,7.460000
59060.871000,7.910000
59062.925000,7.760000
59064.870000,7.640000
59066.923000,7.930000
59068.885000,8.220000
59070.922000,7.990000
59072.881000,7.660000
59076.880000,7.250000
59078.919000,8.160000
59081.052000,7.740000
59084.877000,7.810000
59086.932000,8.380000
59088.892000,8.180000
59090.943000,7.230000
59092.889000,7.230000
59094.943000,7.370000
59096.888000,7.330000
59098.942000,7.330000
59100.885000,7.760000
59102.941000,7.560000
59104.884000,7.680000
59106.940000,7.600000
59108.881000,7.410000
59110.937000,7.370000
59112.881000,7.460000
59114.935000,7.390000
59116.894000,7.290000
59118.934000,7.230000
59120.894000,7.580000
59122.932000,6.980000
59124.893000,7.330000
59126.946000,7.680000
59128.891000,7.810000
59130.945000,7.660000
59132.889000,7.310000
59134.947000,7.720000
59136.887000,7.910000
59138.941000,8.130000
59140.886000,8.360000
59142.940000,7.830000
59144.883000,7.540000
59146.953000,8.130000
59148.898000,8.180000
59152.895000,7.740000
59154.935000,7.040000
59156.895000,7.780000
59158.948000,8.300000
59160.902000,7.970000
59162.946000,7.720000
59164.891000,7.600000
59166.947000,7.990000
59168.892000,8.300000
59170.944000,7.700000
59172.888000,7.410000
59174.943000,7.640000
59176.887000,7.410000
59178.948000,8.050000
59180.900000,8.030000
59182.940000,8.070000
59184.900000,7.720000
59186.954000,7.660000
59188.897000,7.520000
59190.952000,7.740000
59192.897000,8.030000
59194.951000,8.180000
59196.893000,7.790000
59198.948000,7.560000
59200.892000,7.390000
59202.947000,8.050000
59204.900000,7.810000
59206.960000,7.740000
59208.906000,7.810000
59210.959000,7.680000
59212.904000,7.640000
59214.962000,7.460000
59217.011000,7.540000
59218.956000,7.720000
59220.899000,7.740000
59222.956000,7.720000
59224.898000,7.850000
59226.952000,7.440000
59228.897000,6.550000
59230.952000,6.380000
59232.895000,6.590000
59234.949000,7.660000
59236.908000,8.180000
59238.949000,8.690000
59240.907000,8.050000
59242.961000,7.680000
59244.905000,8.010000
59246.961000,7.580000
59248.909000,7.740000
59250.957000,7.520000
59252.902000,7.680000
59254.957000,7.540000
59256.901000,7.290000
59258.961000,7.370000
59260.899000,7.150000
59262.953000,7.520000
59264.899000,7.760000
59266.968000,7.410000
59268.912000,7.170000
59270.966000,7.540000
59272.910000,7.330000
59274.966000,7.430000
59276.908000,7.640000
59278.962000,7.210000
59280.906000,7.440000
59282.961000,7.410000
59284.918000,7.540000
59288.904000,7.430000
59290.957000,7.370000
59292.903000,6.960000
59294.956000,7.560000
59296.915000,7.950000
59298.970000,7.780000
59300.915000,7.130000
59302.970000,7.330000
59304.913000,7.130000
59306.967000,7.460000
59308.912000,7.890000
59310.968000,8.110000
59312.911000,7.790000
59314.963000,7.330000
59316.908000,7.350000
59318.962000,7.810000
59320.906000,7.700000
59322.960000,8.070000
59324.905000,7.890000
59326.974000,8.030000
59328.926000,8.180000
59330.972000,8.340000
59332.916000,8.050000
59334.988000,7.370000
59336.916000,7.460000
59338.978000,7.760000
59340.912000,7.760000
59342.969000,7.720000
59344.913000,7.350000
59346.968000,7.290000
59348.926000,8.030000
59350.965000,8.300000
59352.924000,7.950000
59356.924000,8.180000
59358.977000,8.610000
59360.923000,7.410000
59362.975000,6.980000
59364.919000,7.060000
59366.974000,6.550000
59368.918000,7.410000
59370.973000,7.600000
59372.925000,7.390000
59374.970000,7.790000
59376.915000,7.290000
59378.969000,7.440000
59380.913000,8.320000
59382.983000,8.610000
