#Time(sec since midnight),Speed(Kts)
65013.678000,7.810000
65015.716000,7.110000
65017.677000,6.750000
65019.716000,6.260000
65021.678000,6.960000
65023.713000,8.320000
65025.673000,8.790000
65027.712000,8.110000
65029.673000,8.200000
65031.709000,7.910000
65033.670000,7.410000
65035.982000,6.840000
65038.343000,6.800000
65039.722000,6.530000
65041.668000,6.900000
65043.720000,7.680000
65045.666000,7.290000
65047.720000,7.170000
65049.663000,7.210000
65051.717000,6.510000
65053.663000,7.000000
65055.717000,7.410000
65057.676000,7.700000
65059.714000,7.680000
65061.675000,8.070000
65063.713000,7.620000
65065.675000,7.000000
65067.711000,7.440000
65069.672000,7.150000
65071.710000,7.370000
65073.670000,7.290000
65075.708000,7.500000
65077.669000,7.330000
65079.707000,7.680000
65081.667000,8.200000
65083.721000,7.790000
65085.665000,7.440000
65087.718000,7.040000
65089.679000,7.370000
65091.718000,8.070000
65093.677000,7.950000
65095.731000,7.740000
65097.675000,6.690000
65099.730000,6.730000
65101.673000,7.330000
65105.688000,7.020000
65107.727000,7.350000
65109.687000,7.680000
65111.723000,7.370000
65113.685000,7.430000
65115.723000,7.170000
65117.684000,7.210000
65119.730000,7.580000
65121.681000,8.110000
65123.720000,7.520000
65125.680000,7.330000
65127.719000,7.130000
65129.677000,7.370000
65131.716000,6.490000
65133.678000,7.040000
65135.716000,7.100000
65137.673000,6.860000
65139.731000,6.960000
65141.673000,7.310000
65143.728000,7.480000
65145.671000,7.620000
65147.679000,8.130000
65149.686000,8.440000
65151.677000,8.030000
65153.685000,7.760000
65155.675000,7.850000
65157.683000,7.410000
65159.675000,6.980000
65161.681000,7.370000
65163.674000,7.440000
65165.680000,6.510000
65167.672000,6.490000
65169.709000,7.680000
65173.693000,7.890000
65175.683000,8.160000
65177.675000,7.250000
65179.682000,7.060000
65181.672000,6.960000
65183.679000,7.410000
65185.672000,7.740000
65187.679000,7.520000
65189.685000,6.900000
65191.676000,7.150000
65193.682000,6.730000
65195.675000,6.710000
65197.683000,7.370000
65199.672000,7.970000
65201.680000,7.760000
65203.672000,7.440000
65205.680000,7.410000
65207.748000,6.650000
65209.692000,7.130000
65211.747000,7.460000
65213.692000,7.600000
65215.746000,6.200000
65217.689000,6.690000
65219.743000,7.700000
65221.688000,8.140000
65223.743000,7.870000
65225.701000,8.010000
65227.740000,7.990000
65229.701000,8.200000
65231.740000,7.720000
65233.704000,7.620000
65235.737000,7.680000
65238.214000,7.580000
65241.696000,7.600000
65243.760000,7.700000
65245.694000,7.740000
65247.732000,7.720000
65249.692000,7.580000
65251.747000,8.050000
65253.706000,7.500000
65255.745000,7.190000
65257.704000,7.100000
65259.744000,7.110000
65261.703000,7.540000
65263.742000,7.760000
65265.702000,7.310000
65267.756000,7.060000
65269.699000,7.350000
65271.753000,7.430000
65273.698000,6.900000
65275.753000,6.260000
65277.697000,5.620000
65279.750000,7.100000
65281.710000,7.930000
65283.750000,7.660000
65285.709000,7.230000
65287.756000,7.190000
65289.706000,8.010000
65291.745000,8.440000
65293.707000,7.850000
65295.745000,8.530000
65297.704000,8.010000
65299.743000,7.600000
65301.703000,7.330000
65303.757000,7.830000
65305.699000,6.730000
65307.785000,7.060000
65309.700000,6.570000
65311.754000,6.760000
65313.710000,7.350000
65315.750000,7.660000
65317.696000,8.130000
65319.750000,7.930000
65321.696000,7.870000
65323.748000,7.460000
65325.708000,6.860000
65327.700000,7.500000
65329.708000,7.540000
65331.698000,8.240000
65333.705000,8.300000
65335.696000,7.930000
65337.704000,6.860000
65339.711000,7.740000
65341.701000,8.590000
65343.709000,8.050000
65345.699000,8.730000
65347.708000,8.440000
65349.699000,7.230000
65351.705000,7.130000
65353.697000,7.560000
65355.706000,6.570000
65357.710000,6.490000
65359.701000,7.210000
65361.709000,7.700000
65363.702000,8.090000
65365.708000,8.380000
65367.698000,8.180000
65369.706000,8.480000
65371.698000,7.370000
65373.706000,6.610000
65375.696000,6.920000
65377.703000,8.320000
65379.710000,8.130000
65381.702000,7.330000
65383.710000,6.410000
65385.698000,6.590000
65387.707000,6.630000
65389.714000,7.210000
65391.705000,7.720000
65393.711000,8.340000
65395.718000,7.970000
65397.711000,6.980000
65399.719000,6.980000
65401.719000,7.370000
65403.715000,7.830000
65405.706000,8.650000
65407.715000,7.910000
65409.706000,7.410000
65411.711000,7.330000
65413.719000,7.430000
65415.712000,7.810000
65417.719000,7.910000
65419.719000,8.360000
65421.715000,7.600000
65423.707000,8.030000
65425.715000,7.780000
65427.707000,7.830000
65429.712000,7.310000
65431.704000,7.720000
65433.711000,7.580000
65435.704000,7.890000
65437.709000,7.560000
65439.717000,7.330000
65441.708000,7.310000
65443.716000,7.130000
65445.718000,7.440000
65447.714000,7.660000
65449.720000,7.430000
65451.728000,7.760000
65453.720000,7.640000
65455.726000,7.270000
65457.716000,6.920000
65459.724000,7.370000
65461.717000,7.310000
65463.727000,6.880000
65465.727000,7.350000
65467.721000,7.620000
65469.713000,7.620000
65471.719000,7.500000
65473.725000,7.850000
65475.718000,7.600000
65477.724000,7.040000
65479.718000,7.390000
65481.727000,7.720000
65483.714000,7.870000
65485.721000,7.020000
65487.715000,7.000000
65489.720000,7.100000
65491.727000,7.060000
65493.720000,7.540000
65496.493000,7.700000
65497.733000,7.150000
65499.724000,7.110000
65501.715000,7.720000
65503.723000,7.290000
65505.714000,7.020000
65507.815000,7.680000
65509.758000,8.110000
65511.812000,7.410000
65513.772000,7.500000
65515.811000,6.940000
65517.773000,7.460000
65519.809000,7.440000
65521.769000,7.170000
65523.809000,7.060000
65525.768000,8.180000
65527.805000,7.700000
65529.766000,7.110000
65531.805000,7.600000
65533.766000,7.790000
65535.819000,8.140000
65537.764000,7.870000
65539.817000,7.580000
65541.762000,7.660000
65543.816000,7.540000
65545.759000,7.720000
65547.814000,7.810000
65549.759000,8.050000
65551.813000,7.440000
65553.771000,7.830000
65555.810000,7.930000
65557.771000,8.340000
65559.809000,8.050000
65561.771000,8.460000
65565.767000,8.220000
65567.790000,8.240000
65569.751000,8.110000
65571.788000,7.810000
65573.748000,7.560000
65575.786000,7.890000
65577.747000,8.030000
65579.796000,7.640000
65581.745000,7.720000
65583.783000,8.240000
65585.745000,8.570000
65587.783000,8.260000
65589.741000,8.360000
65591.795000,8.070000
65593.756000,8.220000
65595.794000,8.610000
65597.738000,8.810000
65599.794000,8.380000
65601.753000,8.090000
65603.792000,8.570000
65605.753000,8.090000
65607.789000,7.890000
65609.748000,8.090000
65611.788000,7.870000
65613.749000,8.090000
65615.785000,7.870000
65617.747000,7.790000
65619.785000,7.370000
65621.745000,7.950000
65623.794000,8.550000
65625.744000,8.670000
65627.751000,8.590000
65629.945000,8.160000
65632.156000,8.200000
65633.741000,7.870000
65635.747000,8.460000
65637.738000,8.300000
65639.746000,7.700000
65641.752000,8.090000
65643.744000,8.670000
65645.751000,8.240000
65647.742000,7.870000
65649.752000,8.300000
65651.739000,8.090000
65653.748000,8.180000
65655.754000,7.850000
65657.746000,7.870000
65659.737000,8.360000
65661.743000,7.790000
65663.751000,7.780000
65665.743000,8.460000
65667.752000,8.360000
65669.740000,7.660000
65671.748000,7.850000
65673.740000,7.580000
